,E61_WT_500uM,E61_WT_500uM,E61_WT_10uM,E61_WT_10uM,E61_WT_DMSO,E61_WT_DMSO,E61_WT_Control,E61_WT_Control
,time,counts,time,counts,time,counts,time,counts
269,1 days 20:50:00,399,1 days 20:50:00,573,1 days 20:50:00,380,1 days 20:50:00,314
270,1 days 21:00:00,399,1 days 21:00:00,590,1 days 21:00:00,372,1 days 21:00:00,306
271,1 days 21:10:00,401,1 days 21:10:00,587,1 days 21:10:00,378,1 days 21:10:00,312
272,1 days 21:20:00,397,1 days 21:20:00,577,1 days 21:20:00,392,1 days 21:20:00,301
273,1 days 21:30:00,396,1 days 21:30:00,591,1 days 21:30:00,388,1 days 21:30:00,308
274,1 days 21:40:00,405,1 days 21:40:00,589,1 days 21:40:00,396,1 days 21:40:00,320
275,1 days 21:50:00,406,1 days 21:50:00,586,1 days 21:50:00,394,1 days 21:50:00,329
276,1 days 22:00:00,400,1 days 22:00:00,596,1 days 22:00:00,394,1 days 22:00:00,324
277,1 days 22:10:00,395,1 days 22:10:00,595,1 days 22:10:00,401,1 days 22:10:00,315
278,1 days 22:20:00,403,1 days 22:20:00,581,1 days 22:20:00,397,1 days 22:20:00,309
279,1 days 22:30:00,398,1 days 22:30:00,595,1 days 22:30:00,397,1 days 22:30:00,304
280,1 days 22:40:00,397,1 days 22:40:00,577,1 days 22:40:00,400,1 days 22:40:00,311
281,1 days 22:50:00,409,1 days 22:50:00,582,1 days 22:50:00,396,1 days 22:50:00,316
282,1 days 23:00:00,403,1 days 23:00:00,586,1 days 23:00:00,401,1 days 23:00:00,325
283,1 days 23:10:00,394,1 days 23:10:00,586,1 days 23:10:00,400,1 days 23:10:00,321
284,1 days 23:20:00,393,1 days 23:20:00,581,1 days 23:20:00,408,1 days 23:20:00,318
285,1 days 23:30:00,395,1 days 23:30:00,598,1 days 23:30:00,411,1 days 23:30:00,317
286,1 days 23:40:00,397,1 days 23:40:00,580,1 days 23:40:00,420,1 days 23:40:00,304
287,1 days 23:50:00,410,1 days 23:50:00,581,1 days 23:50:00,409,1 days 23:50:00,316
288,2 days 00:00:00,405,2 days 00:00:00,589,2 days 00:00:00,414,2 days 00:00:00,325
289,2 days 00:10:00,411,2 days 00:10:00,595,2 days 00:10:00,413,2 days 00:10:00,324
290,2 days 00:20:00,400,2 days 00:20:00,586,2 days 00:20:00,414,2 days 00:20:00,325
291,2 days 00:30:00,420,2 days 00:30:00,597,2 days 00:30:00,414,2 days 00:30:00,333
292,2 days 00:40:00,419,2 days 00:40:00,610,2 days 00:40:00,424,2 days 00:40:00,330
293,2 days 00:50:00,408,2 days 00:50:00,608,2 days 00:50:00,423,2 days 00:50:00,342
294,2 days 01:00:00,410,2 days 01:00:00,617,2 days 01:00:00,416,2 days 01:00:00,332
295,2 days 01:10:00,411,2 days 01:10:00,615,2 days 01:10:00,421,2 days 01:10:00,332
296,2 days 01:20:00,412,2 days 01:20:00,604,2 days 01:20:00,418,2 days 01:20:00,332
297,2 days 01:30:00,405,2 days 01:30:00,614,2 days 01:30:00,416,2 days 01:30:00,343
298,2 days 01:40:00,412,2 days 01:40:00,610,2 days 01:40:00,419,2 days 01:40:00,339
299,2 days 01:50:00,416,2 days 01:50:00,622,2 days 01:50:00,430,2 days 01:50:00,327
300,2 days 02:00:00,400,2 days 02:00:00,631,2 days 02:00:00,422,2 days 02:00:00,340
301,2 days 02:10:00,411,2 days 02:10:00,620,2 days 02:10:00,419,2 days 02:10:00,339
302,2 days 02:20:00,408,2 days 02:20:00,618,2 days 02:20:00,414,2 days 02:20:00,332
303,2 days 02:30:00,411,2 days 02:30:00,626,2 days 02:30:00,420,2 days 02:30:00,339
304,2 days 02:40:00,419,2 days 02:40:00,628,2 days 02:40:00,418,2 days 02:40:00,338
305,2 days 02:50:00,418,2 days 02:50:00,631,2 days 02:50:00,430,2 days 02:50:00,351
306,2 days 03:00:00,418,2 days 03:00:00,632,2 days 03:00:00,427,2 days 03:00:00,354
307,2 days 03:10:00,417,2 days 03:10:00,625,2 days 03:10:00,446,2 days 03:10:00,348
308,2 days 03:20:00,417,2 days 03:20:00,639,2 days 03:20:00,433,2 days 03:20:00,344
309,2 days 03:30:00,416,2 days 03:30:00,635,2 days 03:30:00,438,2 days 03:30:00,339
310,2 days 03:40:00,409,2 days 03:40:00,644,2 days 03:40:00,440,2 days 03:40:00,340
311,2 days 03:50:00,417,2 days 03:50:00,639,2 days 03:50:00,434,2 days 03:50:00,342
312,2 days 04:00:00,418,2 days 04:00:00,647,2 days 04:00:00,428,2 days 04:00:00,349
313,2 days 04:10:00,408,2 days 04:10:00,633,2 days 04:10:00,434,2 days 04:10:00,339
314,2 days 04:20:00,409,2 days 04:20:00,647,2 days 04:20:00,439,2 days 04:20:00,352
315,2 days 04:30:00,410,2 days 04:30:00,649,2 days 04:30:00,431,2 days 04:30:00,346
316,2 days 04:40:00,406,2 days 04:40:00,654,2 days 04:40:00,422,2 days 04:40:00,345
317,2 days 04:50:00,420,2 days 04:50:00,657,2 days 04:50:00,432,2 days 04:50:00,345
318,2 days 05:00:00,423,2 days 05:00:00,637,2 days 05:00:00,440,2 days 05:00:00,342
319,2 days 05:10:00,421,2 days 05:10:00,649,2 days 05:10:00,442,2 days 05:10:00,353
320,2 days 05:20:00,427,2 days 05:20:00,654,2 days 05:20:00,441,2 days 05:20:00,344
321,2 days 05:30:00,432,2 days 05:30:00,637,2 days 05:30:00,436,2 days 05:30:00,353
322,2 days 05:40:00,426,2 days 05:40:00,640,2 days 05:40:00,443,2 days 05:40:00,350
323,2 days 05:50:00,419,2 days 05:50:00,643,2 days 05:50:00,448,2 days 05:50:00,350
324,2 days 06:00:00,431,2 days 06:00:00,649,2 days 06:00:00,447,2 days 06:00:00,347
325,2 days 06:10:00,425,2 days 06:10:00,648,2 days 06:10:00,449,2 days 06:10:00,340
326,2 days 06:20:00,424,2 days 06:20:00,661,2 days 06:20:00,450,2 days 06:20:00,353
327,2 days 06:30:00,421,2 days 06:30:00,654,2 days 06:30:00,453,2 days 06:30:00,364
328,2 days 06:40:00,433,2 days 06:40:00,653,2 days 06:40:00,451,2 days 06:40:00,363
329,2 days 06:50:00,426,2 days 06:50:00,660,2 days 06:50:00,457,2 days 06:50:00,373
330,2 days 07:00:00,429,2 days 07:00:00,658,2 days 07:00:00,471,2 days 07:00:00,368
331,2 days 07:10:00,425,2 days 07:10:00,676,2 days 07:10:00,470,2 days 07:10:00,370
332,2 days 07:20:00,435,2 days 07:20:00,674,2 days 07:20:00,477,2 days 07:20:00,367
333,2 days 07:30:00,428,2 days 07:30:00,665,2 days 07:30:00,464,2 days 07:30:00,364
334,2 days 07:40:00,435,2 days 07:40:00,680,2 days 07:40:00,461,2 days 07:40:00,365
335,2 days 07:50:00,438,2 days 07:50:00,695,2 days 07:50:00,456,2 days 07:50:00,361
336,2 days 08:00:00,434,2 days 08:00:00,671,2 days 08:00:00,465,2 days 08:00:00,366
337,2 days 08:10:00,432,2 days 08:10:00,672,2 days 08:10:00,455,2 days 08:10:00,358
338,2 days 08:20:00,433,2 days 08:20:00,676,2 days 08:20:00,467,2 days 08:20:00,364
339,2 days 08:30:00,436,2 days 08:30:00,666,2 days 08:30:00,455,2 days 08:30:00,367
340,2 days 08:40:00,431,2 days 08:40:00,682,2 days 08:40:00,458,2 days 08:40:00,357
341,2 days 08:50:00,437,2 days 08:50:00,675,2 days 08:50:00,460,2 days 08:50:00,368
342,2 days 09:00:00,423,2 days 09:00:00,691,2 days 09:00:00,466,2 days 09:00:00,369
343,2 days 09:10:00,427,2 days 09:10:00,682,2 days 09:10:00,466,2 days 09:10:00,385
344,2 days 09:20:00,423,2 days 09:20:00,692,2 days 09:20:00,468,2 days 09:20:00,382
345,2 days 09:30:00,432,2 days 09:30:00,707,2 days 09:30:00,468,2 days 09:30:00,391
346,2 days 09:40:00,441,2 days 09:40:00,695,2 days 09:40:00,466,2 days 09:40:00,388
347,2 days 09:50:00,432,2 days 09:50:00,709,2 days 09:50:00,466,2 days 09:50:00,392
348,2 days 10:00:00,433,2 days 10:00:00,708,2 days 10:00:00,482,2 days 10:00:00,391
349,2 days 10:10:00,422,2 days 10:10:00,695,2 days 10:10:00,465,2 days 10:10:00,387
350,2 days 10:20:00,434,2 days 10:20:00,706,2 days 10:20:00,465,2 days 10:20:00,391
351,2 days 10:30:00,444,2 days 10:30:00,702,2 days 10:30:00,470,2 days 10:30:00,386
352,2 days 10:40:00,434,2 days 10:40:00,684,2 days 10:40:00,463,2 days 10:40:00,401
353,2 days 10:50:00,429,2 days 10:50:00,696,2 days 10:50:00,473,2 days 10:50:00,390
354,2 days 11:00:00,423,2 days 11:00:00,697,2 days 11:00:00,477,2 days 11:00:00,402
355,2 days 11:10:00,426,2 days 11:10:00,717,2 days 11:10:00,487,2 days 11:10:00,400
356,2 days 11:20:00,430,2 days 11:20:00,716,2 days 11:20:00,484,2 days 11:20:00,406
357,2 days 11:30:00,432,2 days 11:30:00,708,2 days 11:30:00,492,2 days 11:30:00,400
358,2 days 11:40:00,432,2 days 11:40:00,708,2 days 11:40:00,500,2 days 11:40:00,398
359,2 days 11:50:00,426,2 days 11:50:00,712,2 days 11:50:00,493,2 days 11:50:00,407
360,2 days 12:00:00,445,2 days 12:00:00,703,2 days 12:00:00,498,2 days 12:00:00,398
361,2 days 12:10:00,439,2 days 12:10:00,715,2 days 12:10:00,500,2 days 12:10:00,385
362,2 days 12:20:00,411,2 days 12:20:00,719,2 days 12:20:00,510,2 days 12:20:00,395
363,2 days 12:30:00,431,2 days 12:30:00,721,2 days 12:30:00,510,2 days 12:30:00,397
364,2 days 12:40:00,434,2 days 12:40:00,726,2 days 12:40:00,493,2 days 12:40:00,411
365,2 days 12:50:00,433,2 days 12:50:00,723,2 days 12:50:00,485,2 days 12:50:00,403
366,2 days 13:00:00,440,2 days 13:00:00,702,2 days 13:00:00,496,2 days 13:00:00,416
367,2 days 13:10:00,429,2 days 13:10:00,726,2 days 13:10:00,498,2 days 13:10:00,409
368,2 days 13:20:00,436,2 days 13:20:00,707,2 days 13:20:00,486,2 days 13:20:00,411
369,2 days 13:30:00,448,2 days 13:30:00,719,2 days 13:30:00,498,2 days 13:30:00,414
370,2 days 13:40:00,449,2 days 13:40:00,724,2 days 13:40:00,495,2 days 13:40:00,416
371,2 days 13:50:00,426,2 days 13:50:00,721,2 days 13:50:00,506,2 days 13:50:00,409
372,2 days 14:00:00,427,2 days 14:00:00,716,2 days 14:00:00,500,2 days 14:00:00,410
373,2 days 14:10:00,427,2 days 14:10:00,734,2 days 14:10:00,496,2 days 14:10:00,418
374,2 days 14:20:00,428,2 days 14:20:00,735,2 days 14:20:00,500,2 days 14:20:00,420
375,2 days 14:30:00,431,2 days 14:30:00,730,2 days 14:30:00,500,2 days 14:30:00,414
376,2 days 14:40:00,428,2 days 14:40:00,737,2 days 14:40:00,496,2 days 14:40:00,416
377,2 days 14:50:00,440,2 days 14:50:00,723,2 days 14:50:00,509,2 days 14:50:00,414
378,2 days 15:00:00,441,2 days 15:00:00,732,2 days 15:00:00,520,2 days 15:00:00,434
379,2 days 15:10:00,437,2 days 15:10:00,728,2 days 15:10:00,527,2 days 15:10:00,427
380,2 days 15:20:00,434,2 days 15:20:00,746,2 days 15:20:00,513,2 days 15:20:00,415
381,2 days 15:30:00,436,2 days 15:30:00,736,2 days 15:30:00,512,2 days 15:30:00,418
382,2 days 15:40:00,434,2 days 15:40:00,749,2 days 15:40:00,524,2 days 15:40:00,426
383,2 days 15:50:00,440,2 days 15:50:00,736,2 days 15:50:00,518,2 days 15:50:00,429
384,2 days 16:00:00,438,2 days 16:00:00,738,2 days 16:00:00,511,2 days 16:00:00,423
385,2 days 16:10:00,433,2 days 16:10:00,729,2 days 16:10:00,528,2 days 16:10:00,424
386,2 days 16:20:00,448,2 days 16:20:00,748,2 days 16:20:00,525,2 days 16:20:00,428
387,2 days 16:30:00,439,2 days 16:30:00,748,2 days 16:30:00,514,2 days 16:30:00,436
388,2 days 16:40:00,439,2 days 16:40:00,746,2 days 16:40:00,526,2 days 16:40:00,432
389,2 days 16:50:00,440,2 days 16:50:00,736,2 days 16:50:00,526,2 days 16:50:00,436
390,2 days 17:00:00,437,2 days 17:00:00,749,2 days 17:00:00,528,2 days 17:00:00,446
391,2 days 17:10:00,443,2 days 17:10:00,761,2 days 17:10:00,533,2 days 17:10:00,447
392,2 days 17:20:00,429,2 days 17:20:00,758,2 days 17:20:00,526,2 days 17:20:00,438
393,2 days 17:30:00,439,2 days 17:30:00,736,2 days 17:30:00,527,2 days 17:30:00,442
394,2 days 17:40:00,452,2 days 17:40:00,744,2 days 17:40:00,531,2 days 17:40:00,454
395,2 days 17:50:00,441,2 days 17:50:00,745,2 days 17:50:00,533,2 days 17:50:00,460
396,2 days 18:00:00,451,2 days 18:00:00,737,2 days 18:00:00,534,2 days 18:00:00,458
397,2 days 18:10:00,448,2 days 18:10:00,738,2 days 18:10:00,515,2 days 18:10:00,460
398,2 days 18:20:00,443,2 days 18:20:00,736,2 days 18:20:00,525,2 days 18:20:00,464
399,2 days 18:30:00,446,2 days 18:30:00,744,2 days 18:30:00,541,2 days 18:30:00,462
400,2 days 18:40:00,451,2 days 18:40:00,732,2 days 18:40:00,543,2 days 18:40:00,469
401,2 days 18:50:00,453,2 days 18:50:00,751,2 days 18:50:00,544,2 days 18:50:00,480
402,2 days 19:00:00,457,2 days 19:00:00,744,2 days 19:00:00,539,2 days 19:00:00,457
403,2 days 19:10:00,455,2 days 19:10:00,753,2 days 19:10:00,541,2 days 19:10:00,477
404,2 days 19:20:00,445,2 days 19:20:00,740,2 days 19:20:00,545,2 days 19:20:00,477
405,2 days 19:30:00,456,2 days 19:30:00,757,2 days 19:30:00,549,2 days 19:30:00,475
406,2 days 19:40:00,457,2 days 19:40:00,735,2 days 19:40:00,538,2 days 19:40:00,462
407,2 days 19:50:00,448,2 days 19:50:00,718,2 days 19:50:00,536,2 days 19:50:00,463
408,2 days 20:00:00,447,2 days 20:00:00,742,2 days 20:00:00,549,2 days 20:00:00,473
409,2 days 20:10:00,455,2 days 20:10:00,738,2 days 20:10:00,552,2 days 20:10:00,476
410,2 days 20:20:00,454,2 days 20:20:00,736,2 days 20:20:00,565,2 days 20:20:00,468
411,2 days 20:30:00,451,2 days 20:30:00,719,2 days 20:30:00,545,2 days 20:30:00,475
412,2 days 20:40:00,458,2 days 20:40:00,733,2 days 20:40:00,548,2 days 20:40:00,475
413,2 days 20:50:00,459,2 days 20:50:00,737,2 days 20:50:00,554,2 days 20:50:00,483
414,2 days 21:00:00,454,2 days 21:00:00,734,2 days 21:00:00,576,2 days 21:00:00,488
415,2 days 21:10:00,445,2 days 21:10:00,727,2 days 21:10:00,565,2 days 21:10:00,484
416,2 days 21:20:00,452,2 days 21:20:00,738,2 days 21:20:00,577,2 days 21:20:00,487
417,2 days 21:30:00,458,2 days 21:30:00,723,2 days 21:30:00,571,2 days 21:30:00,484
418,2 days 21:40:00,440,2 days 21:40:00,726,2 days 21:40:00,577,2 days 21:40:00,487
419,2 days 21:50:00,458,2 days 21:50:00,742,2 days 21:50:00,572,2 days 21:50:00,484
420,2 days 22:00:00,439,2 days 22:00:00,745,2 days 22:00:00,566,2 days 22:00:00,480
421,2 days 22:10:00,451,2 days 22:10:00,737,2 days 22:10:00,554,2 days 22:10:00,482
422,2 days 22:20:00,452,2 days 22:20:00,761,2 days 22:20:00,566,2 days 22:20:00,473
423,2 days 22:30:00,455,2 days 22:30:00,751,2 days 22:30:00,581,2 days 22:30:00,482
424,2 days 22:40:00,454,2 days 22:40:00,746,2 days 22:40:00,584,2 days 22:40:00,498
425,2 days 22:50:00,457,2 days 22:50:00,741,2 days 22:50:00,585,2 days 22:50:00,500
426,2 days 23:00:00,446,2 days 23:00:00,753,2 days 23:00:00,579,2 days 23:00:00,489
427,2 days 23:10:00,450,2 days 23:10:00,751,2 days 23:10:00,597,2 days 23:10:00,484
428,2 days 23:20:00,445,2 days 23:20:00,771,2 days 23:20:00,572,2 days 23:20:00,491
429,2 days 23:30:00,459,2 days 23:30:00,765,2 days 23:30:00,589,2 days 23:30:00,483
430,2 days 23:40:00,458,2 days 23:40:00,768,2 days 23:40:00,590,2 days 23:40:00,491
431,2 days 23:50:00,451,2 days 23:50:00,769,2 days 23:50:00,588,2 days 23:50:00,493
432,3 days 00:00:00,458,3 days 00:00:00,753,3 days 00:00:00,589,3 days 00:00:00,505
433,3 days 00:10:00,452,3 days 00:10:00,764,3 days 00:10:00,589,3 days 00:10:00,504
434,3 days 00:20:00,454,3 days 00:20:00,744,3 days 00:20:00,591,3 days 00:20:00,503
435,3 days 00:30:00,449,3 days 00:30:00,771,3 days 00:30:00,602,3 days 00:30:00,507
436,3 days 00:40:00,450,3 days 00:40:00,791,3 days 00:40:00,602,3 days 00:40:00,514
437,3 days 00:50:00,462,3 days 00:50:00,793,3 days 00:50:00,590,3 days 00:50:00,515
438,3 days 01:00:00,459,3 days 01:00:00,781,3 days 01:00:00,595,3 days 01:00:00,510
439,3 days 01:10:00,471,3 days 01:10:00,780,3 days 01:10:00,612,3 days 01:10:00,515
440,3 days 01:20:00,460,3 days 01:20:00,781,3 days 01:20:00,619,3 days 01:20:00,521
441,3 days 01:30:00,463,3 days 01:30:00,783,3 days 01:30:00,612,3 days 01:30:00,514
442,3 days 01:40:00,456,3 days 01:40:00,784,3 days 01:40:00,610,3 days 01:40:00,511
443,3 days 01:50:00,468,3 days 01:50:00,775,3 days 01:50:00,610,3 days 01:50:00,515
444,3 days 02:00:00,465,3 days 02:00:00,772,3 days 02:00:00,626,3 days 02:00:00,517
445,3 days 02:10:00,466,3 days 02:10:00,771,3 days 02:10:00,602,3 days 02:10:00,508
446,3 days 02:20:00,457,3 days 02:20:00,775,3 days 02:20:00,620,3 days 02:20:00,515
447,3 days 02:30:00,461,3 days 02:30:00,771,3 days 02:30:00,615,3 days 02:30:00,537
448,3 days 02:40:00,468,3 days 02:40:00,761,3 days 02:40:00,621,3 days 02:40:00,536
449,3 days 02:50:00,466,3 days 02:50:00,762,3 days 02:50:00,626,3 days 02:50:00,524
450,3 days 03:00:00,473,3 days 03:00:00,775,3 days 03:00:00,634,3 days 03:00:00,539
451,3 days 03:10:00,465,3 days 03:10:00,778,3 days 03:10:00,636,3 days 03:10:00,529
452,3 days 03:20:00,459,3 days 03:20:00,790,3 days 03:20:00,643,3 days 03:20:00,546
453,3 days 03:30:00,481,3 days 03:30:00,789,3 days 03:30:00,645,3 days 03:30:00,541
454,3 days 03:40:00,476,3 days 03:40:00,788,3 days 03:40:00,646,3 days 03:40:00,541
455,3 days 03:50:00,462,3 days 03:50:00,786,3 days 03:50:00,629,3 days 03:50:00,546
456,3 days 04:00:00,463,3 days 04:00:00,779,3 days 04:00:00,618,3 days 04:00:00,550
457,3 days 04:10:00,462,3 days 04:10:00,774,3 days 04:10:00,641,3 days 04:10:00,545
458,3 days 04:20:00,464,3 days 04:20:00,767,3 days 04:20:00,644,3 days 04:20:00,543
459,3 days 04:30:00,468,3 days 04:30:00,764,3 days 04:30:00,641,3 days 04:30:00,558
460,3 days 04:40:00,466,3 days 04:40:00,776,3 days 04:40:00,634,3 days 04:40:00,541
461,3 days 04:50:00,463,3 days 04:50:00,791,3 days 04:50:00,627,3 days 04:50:00,566
462,3 days 05:00:00,450,3 days 05:00:00,771,3 days 05:00:00,645,3 days 05:00:00,561
463,3 days 05:10:00,456,3 days 05:10:00,776,3 days 05:10:00,659,3 days 05:10:00,559
464,3 days 05:20:00,454,3 days 05:20:00,793,3 days 05:20:00,643,3 days 05:20:00,548
465,3 days 05:30:00,463,3 days 05:30:00,779,3 days 05:30:00,644,3 days 05:30:00,564
466,3 days 05:40:00,466,3 days 05:40:00,778,3 days 05:40:00,659,3 days 05:40:00,555
467,3 days 05:50:00,452,3 days 05:50:00,776,3 days 05:50:00,646,3 days 05:50:00,563
468,3 days 06:00:00,457,3 days 06:00:00,776,3 days 06:00:00,655,3 days 06:00:00,577
469,3 days 06:10:00,456,3 days 06:10:00,769,3 days 06:10:00,653,3 days 06:10:00,570
470,3 days 06:20:00,460,3 days 06:20:00,773,3 days 06:20:00,650,3 days 06:20:00,555
471,3 days 06:30:00,468,3 days 06:30:00,775,3 days 06:30:00,668,3 days 06:30:00,557
472,3 days 06:40:00,459,3 days 06:40:00,776,3 days 06:40:00,647,3 days 06:40:00,570
473,3 days 06:50:00,471,3 days 06:50:00,785,3 days 06:50:00,652,3 days 06:50:00,586
474,3 days 07:00:00,468,3 days 07:00:00,799,3 days 07:00:00,656,3 days 07:00:00,583
475,3 days 07:10:00,482,3 days 07:10:00,789,3 days 07:10:00,666,3 days 07:10:00,592
476,3 days 07:20:00,468,3 days 07:20:00,794,3 days 07:20:00,668,3 days 07:20:00,576
477,3 days 07:30:00,466,3 days 07:30:00,799,3 days 07:30:00,653,3 days 07:30:00,567
478,3 days 07:40:00,454,3 days 07:40:00,800,3 days 07:40:00,665,3 days 07:40:00,584
479,3 days 07:50:00,457,3 days 07:50:00,808,3 days 07:50:00,679,3 days 07:50:00,568
480,3 days 08:00:00,473,3 days 08:00:00,808,3 days 08:00:00,670,3 days 08:00:00,583
481,3 days 08:10:00,470,3 days 08:10:00,800,3 days 08:10:00,670,3 days 08:10:00,590
482,3 days 08:20:00,466,3 days 08:20:00,804,3 days 08:20:00,685,3 days 08:20:00,591
483,3 days 08:30:00,460,3 days 08:30:00,809,3 days 08:30:00,683,3 days 08:30:00,596
484,3 days 08:40:00,476,3 days 08:40:00,815,3 days 08:40:00,676,3 days 08:40:00,584
485,3 days 08:50:00,472,3 days 08:50:00,794,3 days 08:50:00,674,3 days 08:50:00,579
486,3 days 09:00:00,479,3 days 09:00:00,800,3 days 09:00:00,682,3 days 09:00:00,586
487,3 days 09:10:00,476,3 days 09:10:00,799,3 days 09:10:00,693,3 days 09:10:00,596
488,3 days 09:20:00,464,3 days 09:20:00,803,3 days 09:20:00,677,3 days 09:20:00,585
489,3 days 09:30:00,471,3 days 09:30:00,819,3 days 09:30:00,684,3 days 09:30:00,586
490,3 days 09:40:00,466,3 days 09:40:00,811,3 days 09:40:00,667,3 days 09:40:00,580
491,3 days 09:50:00,476,3 days 09:50:00,803,3 days 09:50:00,689,3 days 09:50:00,605
492,3 days 10:00:00,470,3 days 10:00:00,786,3 days 10:00:00,688,3 days 10:00:00,599
493,3 days 10:10:00,472,3 days 10:10:00,800,3 days 10:10:00,692,3 days 10:10:00,597
494,3 days 10:20:00,469,3 days 10:20:00,794,3 days 10:20:00,695,3 days 10:20:00,602
495,3 days 10:30:00,480,3 days 10:30:00,799,3 days 10:30:00,693,3 days 10:30:00,581
496,3 days 10:40:00,465,3 days 10:40:00,825,3 days 10:40:00,700,3 days 10:40:00,596
497,3 days 10:50:00,469,3 days 10:50:00,831,3 days 10:50:00,712,3 days 10:50:00,608
498,3 days 11:00:00,476,3 days 11:00:00,807,3 days 11:00:00,700,3 days 11:00:00,597
499,3 days 11:10:00,487,3 days 11:10:00,814,3 days 11:10:00,718,3 days 11:10:00,598
500,3 days 11:20:00,472,3 days 11:20:00,807,3 days 11:20:00,721,3 days 11:20:00,599
501,3 days 11:30:00,476,3 days 11:30:00,812,3 days 11:30:00,724,3 days 11:30:00,597
502,3 days 11:40:00,478,3 days 11:40:00,808,3 days 11:40:00,735,3 days 11:40:00,608
503,3 days 11:50:00,477,3 days 11:50:00,813,3 days 11:50:00,704,3 days 11:50:00,621
504,3 days 12:00:00,476,3 days 12:00:00,818,3 days 12:00:00,729,3 days 12:00:00,622
505,3 days 12:10:00,477,3 days 12:10:00,802,3 days 12:10:00,722,3 days 12:10:00,614
506,3 days 12:20:00,470,3 days 12:20:00,801,3 days 12:20:00,705,3 days 12:20:00,620
507,3 days 12:30:00,468,3 days 12:30:00,811,3 days 12:30:00,731,3 days 12:30:00,631
508,3 days 12:40:00,473,3 days 12:40:00,823,3 days 12:40:00,737,3 days 12:40:00,623
509,3 days 12:50:00,476,3 days 12:50:00,813,3 days 12:50:00,737,3 days 12:50:00,626
510,3 days 13:00:00,472,3 days 13:00:00,798,3 days 13:00:00,748,3 days 13:00:00,622
511,3 days 13:10:00,468,3 days 13:10:00,803,3 days 13:10:00,749,3 days 13:10:00,631
512,3 days 13:20:00,481,3 days 13:20:00,791,3 days 13:20:00,735,3 days 13:20:00,634
513,3 days 13:30:00,488,3 days 13:30:00,803,3 days 13:30:00,740,3 days 13:30:00,631
514,3 days 13:40:00,480,3 days 13:40:00,790,3 days 13:40:00,754,3 days 13:40:00,629
515,3 days 13:50:00,472,3 days 13:50:00,795,3 days 13:50:00,761,3 days 13:50:00,636
516,3 days 14:00:00,476,3 days 14:00:00,805,3 days 14:00:00,757,3 days 14:00:00,622
517,3 days 14:10:00,471,3 days 14:10:00,817,3 days 14:10:00,763,3 days 14:10:00,651
518,3 days 14:20:00,478,3 days 14:20:00,810,3 days 14:20:00,760,3 days 14:20:00,645
519,3 days 14:30:00,469,3 days 14:30:00,810,3 days 14:30:00,751,3 days 14:30:00,645
520,3 days 14:40:00,474,3 days 14:40:00,804,3 days 14:40:00,765,3 days 14:40:00,650
521,3 days 14:50:00,475,3 days 14:50:00,806,3 days 14:50:00,764,3 days 14:50:00,641
522,3 days 15:00:00,488,3 days 15:00:00,814,3 days 15:00:00,769,3 days 15:00:00,644
523,3 days 15:10:00,470,3 days 15:10:00,824,3 days 15:10:00,769,3 days 15:10:00,644
524,3 days 15:20:00,476,3 days 15:20:00,829,3 days 15:20:00,772,3 days 15:20:00,652
525,3 days 15:30:00,481,3 days 15:30:00,809,3 days 15:30:00,770,3 days 15:30:00,667
526,3 days 15:40:00,483,3 days 15:40:00,814,3 days 15:40:00,769,3 days 15:40:00,680
527,3 days 15:50:00,491,3 days 15:50:00,810,3 days 15:50:00,778,3 days 15:50:00,677
528,3 days 16:00:00,484,3 days 16:00:00,807,3 days 16:00:00,802,3 days 16:00:00,673
529,3 days 16:10:00,482,3 days 16:10:00,800,3 days 16:10:00,797,3 days 16:10:00,675
530,3 days 16:20:00,482,3 days 16:20:00,809,3 days 16:20:00,784,3 days 16:20:00,696
531,3 days 16:30:00,483,3 days 16:30:00,829,3 days 16:30:00,780,3 days 16:30:00,696
532,3 days 16:40:00,491,3 days 16:40:00,818,3 days 16:40:00,806,3 days 16:40:00,692
533,3 days 16:50:00,490,3 days 16:50:00,818,3 days 16:50:00,794,3 days 16:50:00,704
534,3 days 17:00:00,486,3 days 17:00:00,835,3 days 17:00:00,780,3 days 17:00:00,716
535,3 days 17:10:00,472,3 days 17:10:00,815,3 days 17:10:00,783,3 days 17:10:00,706
536,3 days 17:20:00,479,3 days 17:20:00,833,3 days 17:20:00,793,3 days 17:20:00,707
537,3 days 17:30:00,470,3 days 17:30:00,833,3 days 17:30:00,794,3 days 17:30:00,727
538,3 days 17:40:00,477,3 days 17:40:00,814,3 days 17:40:00,790,3 days 17:40:00,707
539,3 days 17:50:00,493,3 days 17:50:00,826,3 days 17:50:00,797,3 days 17:50:00,731
540,3 days 18:00:00,483,3 days 18:00:00,827,3 days 18:00:00,797,3 days 18:00:00,718
541,3 days 18:10:00,473,3 days 18:10:00,820,3 days 18:10:00,797,3 days 18:10:00,713
542,3 days 18:20:00,489,3 days 18:20:00,830,3 days 18:20:00,802,3 days 18:20:00,720
543,3 days 18:30:00,476,3 days 18:30:00,840,3 days 18:30:00,805,3 days 18:30:00,715
544,3 days 18:40:00,465,3 days 18:40:00,822,3 days 18:40:00,806,3 days 18:40:00,713
545,3 days 18:50:00,474,3 days 18:50:00,837,3 days 18:50:00,801,3 days 18:50:00,716
