,E61_WT_500uM,E61_WT_500uM,E61_WT_10uM,E61_WT_10uM,E61_WT_DMSO,E61_WT_DMSO,E61_WT_Control,E61_WT_Control
,time,counts,time,counts,time,counts,time,counts
61,0 days 10:10:00,329,0 days 10:10:00,363,0 days 10:10:00,226,0 days 10:10:00,221
62,0 days 10:20:00,327,0 days 10:20:00,375,0 days 10:20:00,226,0 days 10:20:00,220
63,0 days 10:30:00,323,0 days 10:30:00,355,0 days 10:30:00,225,0 days 10:30:00,215
64,0 days 10:40:00,321,0 days 10:40:00,355,0 days 10:40:00,224,0 days 10:40:00,215
65,0 days 10:50:00,330,0 days 10:50:00,364,0 days 10:50:00,238,0 days 10:50:00,210
66,0 days 11:00:00,329,0 days 11:00:00,361,0 days 11:00:00,237,0 days 11:00:00,209
67,0 days 11:10:00,338,0 days 11:10:00,360,0 days 11:10:00,227,0 days 11:10:00,219
68,0 days 11:20:00,329,0 days 11:20:00,354,0 days 11:20:00,242,0 days 11:20:00,219
69,0 days 11:30:00,324,0 days 11:30:00,324,0 days 11:30:00,220,0 days 11:30:00,203
70,0 days 11:40:00,297,0 days 11:40:00,324,0 days 11:40:00,240,0 days 11:40:00,214
71,0 days 11:50:00,309,0 days 11:50:00,328,0 days 11:50:00,218,0 days 11:50:00,200
72,0 days 12:00:00,314,0 days 12:00:00,337,0 days 12:00:00,215,0 days 12:00:00,219
73,0 days 12:10:00,316,0 days 12:10:00,343,0 days 12:10:00,230,0 days 12:10:00,227
74,0 days 12:20:00,317,0 days 12:20:00,359,0 days 12:20:00,222,0 days 12:20:00,226
75,0 days 12:30:00,331,0 days 12:30:00,370,0 days 12:30:00,232,0 days 12:30:00,219
76,0 days 12:40:00,329,0 days 12:40:00,366,0 days 12:40:00,234,0 days 12:40:00,228
77,0 days 12:50:00,323,0 days 12:50:00,378,0 days 12:50:00,235,0 days 12:50:00,228
78,0 days 13:00:00,325,0 days 13:00:00,374,0 days 13:00:00,242,0 days 13:00:00,230
79,0 days 13:10:00,327,0 days 13:10:00,363,0 days 13:10:00,238,0 days 13:10:00,226
80,0 days 13:20:00,331,0 days 13:20:00,367,0 days 13:20:00,247,0 days 13:20:00,233
81,0 days 13:30:00,333,0 days 13:30:00,373,0 days 13:30:00,245,0 days 13:30:00,224
82,0 days 13:40:00,344,0 days 13:40:00,381,0 days 13:40:00,247,0 days 13:40:00,226
83,0 days 13:50:00,333,0 days 13:50:00,368,0 days 13:50:00,245,0 days 13:50:00,222
84,0 days 14:00:00,332,0 days 14:00:00,372,0 days 14:00:00,246,0 days 14:00:00,227
85,0 days 14:10:00,332,0 days 14:10:00,379,0 days 14:10:00,243,0 days 14:10:00,224
86,0 days 14:20:00,334,0 days 14:20:00,358,0 days 14:20:00,244,0 days 14:20:00,219
87,0 days 14:30:00,321,0 days 14:30:00,370,0 days 14:30:00,243,0 days 14:30:00,224
88,0 days 14:40:00,331,0 days 14:40:00,361,0 days 14:40:00,249,0 days 14:40:00,225
89,0 days 14:50:00,332,0 days 14:50:00,368,0 days 14:50:00,254,0 days 14:50:00,226
90,0 days 15:00:00,333,0 days 15:00:00,359,0 days 15:00:00,251,0 days 15:00:00,230
91,0 days 15:10:00,327,0 days 15:10:00,348,0 days 15:10:00,239,0 days 15:10:00,227
