,sec
456,353582.655
457,354182.408
458,354782.642
459,355382.334
460,355982.945
461,356582.355
462,357183.076
463,357782.374
464,358382.56
465,358982.85
466,359582.305
467,360182.645
468,360782.581
469,362523.249
470,363123.736
471,363723.766
472,364323.006
473,364923.039
474,365523.024
475,366123.077
476,366723.023
477,367323.006
478,367923.061
479,368523.185
480,369123.06
481,369723.039
482,370323.112
483,370923.175
484,371523.042
485,372123.124
486,372723.485
487,374461.845
488,375062.226
489,375662.217
490,376261.682
491,376861.717
492,377462.418
493,378061.832
494,378661.676
495,379262.421
496,379861.659
497,380461.677
498,381061.837
499,381661.668
500,382261.883
501,382861.812
502,383461.764
503,384061.733
504,384661.65
505,386439.201
506,387038.775
507,387638.391
508,388238.349
509,388838.468
510,389438.328
511,390038.293
512,390638.299
513,391238.912
514,391838.38
515,392438.344
516,393038.983
517,393638.682
518,394238.598
519,394838.555
520,395438.425
521,396038.913
522,396638.467
523,398373.083
524,398972.642
525,399573.406
526,400172.625
527,400773.061
528,401372.741
529,401973.037
530,402572.697
531,403173.137
532,403772.688
533,404372.751
534,404973.278
535,405572.946
536,406172.699
537,406772.695
538,407372.745
539,407972.76
540,408572.696
541,410319.381
542,410919.239
543,411519.497
544,412119.223
545,412719.666
546,413319.282
547,413919.548
548,414519.271
549,415119.364
550,415719.396
551,416319.34
552,416919.457
553,417519.375
554,418119.445
555,418719.244
556,419319.275
557,419919.257
558,420519.397
559,422269.791
560,422869.645
561,423470.36
562,424070.311
563,424669.903
564,425269.977
565,425869.64
566,426469.761
567,427069.684
568,427669.694
569,428269.628
570,428869.65
571,429470.058
572,430070.167
573,430669.909
574,431269.908
575,431869.831
576,432470.254
577,434275.22
578,434874.851
579,435474.872
580,436075.259
581,436675.437
582,437274.909
583,437874.929
584,438475.124
585,439075.497
586,439674.97
587,440274.957
588,440874.879
589,441475.669
590,442075.546
591,442675.171
592,443275.292
593,443884.44
594,444508.413
595,446397.921
596,447026.426
597,447629.264
598,448237.427
599,448859.632
600,449459.468
601,450066.99
602,450666.801
603,451266.975
604,451876.624
605,452504.46
606,453132.822
607,453755.688
608,454383.209
609,455023.537
610,455689.347
611,456371.755
612,457112.055
613,459235.418
614,459961.832
615,460673.108
616,461405.67
617,462163.617
618,462896.955
619,463679.81
620,464456.569
621,465236.603
622,466019.41
623,466776.311
624,467608.713
625,468390.489
626,469178.979
627,470045.734
628,470914.303
629,471816.956
630,472748.748
631,475085.142
632,475886.622
633,476687.451
634,477498.868
635,478324.308
636,479207.365
637,480108.992
638,481089.569
639,482057.175
640,483035.548
641,484032.877
642,484930.245
643,485866.34
644,486801.132
645,487684.521
646,488563.144
647,489478.556
648,490346.675
649,493030.83
650,493913.065
651,494860.008
652,495779.306
653,496724.703
654,497701.699
655,498697.897
656,499693.837
657,500608.04
658,501596.458
659,502605.34
660,503737.68
661,504796.048
662,505815.955
663,506415.946
664,507015.698
665,507631.311
666,508231.036
667,511524.795
668,512657.178
669,513939.559
670,515243.513
671,516646.298
672,518059.202
673,519459.522
674,520918.727
675,522375.721
676,523895.139
677,525387.004
678,526914.478
679,528540.644
680,530246.539
681,531890.11
682,533573.585
683,535236.029
684,536965.71
685,541107.018
686,542709.253
687,544439.017
688,546275.325
689,548208.441
690,550278.348
691,552309.54
692,554420.465
693,556796.093
694,559324.65
695,561746.519
696,564329.2
697,567010.926
698,569666.772
