,E57_KO_10uM_cyto3,E57_KO_10uM_cyto3,E57_KO_500uM_cyto3,E57_KO_500uM_cyto3,E57_KO_Control_cyto3,E57_KO_Control_cyto3,E57_KO_DMSO_cyto3,E57_KO_DMSO_cyto3,E57_WT_10uM_cyto3,E57_WT_10uM_cyto3,E57_WT_500uM_cyto3,E57_WT_500uM_cyto3,E57_WT_Control_cyto3,E57_WT_Control_cyto3,E57_WT_DMSO_cyto3,E57_WT_DMSO_cyto3,E58_KO_10uM_cyto3,E58_KO_10uM_cyto3,E58_KO_500uM_cyto3,E58_KO_500uM_cyto3,E58_KO_Control_cyto3,E58_KO_Control_cyto3,E58_KO_DMSO_cyto3,E58_KO_DMSO_cyto3,E58_WT_10uM_cyto3,E58_WT_10uM_cyto3,E58_WT_500uM_cyto3,E58_WT_500uM_cyto3,E58_WT_Control_cyto3,E58_WT_Control_cyto3,E58_WT_DMSO_cyto3,E58_WT_DMSO_cyto3,E59_KO_10uM_cyto3,E59_KO_10uM_cyto3,E59_KO_500uM_cyto3,E59_KO_500uM_cyto3,E59_KO_Control_cyto3,E59_KO_Control_cyto3,E59_KO_DMSO_cyto3,E59_KO_DMSO_cyto3,E59_WT_10uM_cyto3,E59_WT_10uM_cyto3,E59_WT_500uM_cyto3,E59_WT_500uM_cyto3,E59_WT_Control_cyto3,E59_WT_Control_cyto3,E59_WT_DMSO_cyto3,E59_WT_DMSO_cyto3
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
12,789,36.0,610,36.0,672,36.0,289,36.0,978,36.0,847,36.0,774,36.0,796,36.0,1767.0,36.0,972.0,36.0,1407.0,36.0,1252.0,36.0,758.0,36.0,1689.0,36.0,954.0,36.0,685.0,36.0,2449.0,36.0,2244.0,36.0,1921.0,36.0,2213.0,36.0,1774.0,36.0,1517.0,36.0,1327.0,36.0,1592.0,36.0
13,864,39.0,632,39.0,726,39.0,306,39.0,1146,39.0,879,39.0,767,39.0,824,39.0,1880.0,39.0,1034.0,39.0,1461.0,39.0,1279.0,39.0,829.0,39.0,1761.0,39.0,1023.0,39.0,684.0,39.0,2605.0,39.0,2295.0,39.0,2059.0,39.0,2402.0,39.0,1871.0,39.0,1557.0,39.0,1405.0,39.0,1649.0,39.0
14,880,42.0,664,42.0,756,42.0,358,42.0,1230,42.0,890,42.0,823,42.0,886,42.0,1919.0,42.0,1070.0,42.0,1518.0,42.0,1295.0,42.0,936.0,42.0,1803.0,42.0,1061.0,42.0,710.0,42.0,2705.0,42.0,2358.0,42.0,2123.0,42.0,2547.0,42.0,2012.0,42.0,1630.0,42.0,1473.0,42.0,1744.0,42.0
15,890,45.0,681,45.0,777,45.0,329,45.0,1236,45.0,944,45.0,976,45.0,953,45.0,2034.0,45.0,1100.0,45.0,1591.0,45.0,1380.0,45.0,963.0,45.0,1937.0,45.0,1147.0,45.0,767.0,45.0,2850.0,45.0,2447.0,45.0,2236.0,45.0,2714.0,45.0,2110.0,45.0,1676.0,45.0,1595.0,45.0,1853.0,45.0
16,962,48.0,749,48.0,793,48.0,380,48.0,1356,48.0,996,48.0,968,48.0,983,48.0,2136.0,48.0,1111.0,48.0,1651.0,48.0,1497.0,48.0,984.0,48.0,2019.0,48.0,1250.0,48.0,857.0,48.0,2995.0,48.0,2514.0,48.0,2333.0,48.0,2833.0,48.0,2202.0,48.0,1698.0,48.0,1682.0,48.0,1997.0,48.0
17,977,51.0,762,51.0,845,51.0,401,51.0,1414,51.0,997,51.0,990,51.0,1079,51.0,2230.0,51.0,1148.0,51.0,1653.0,51.0,1595.0,51.0,1023.0,51.0,2109.0,51.0,1296.0,51.0,862.0,51.0,3160.0,51.0,2624.0,51.0,2454.0,51.0,2991.0,51.0,2345.0,51.0,1798.0,51.0,1795.0,51.0,2141.0,51.0
18,1012,54.0,808,54.0,849,54.0,433,54.0,1408,54.0,1076,54.0,1076,54.0,1146,54.0,2310.0,54.0,1173.0,54.0,1822.0,54.0,1615.0,54.0,1108.0,54.0,2185.0,54.0,1412.0,54.0,953.0,54.0,3325.0,54.0,2727.0,54.0,2562.0,54.0,3144.0,54.0,2415.0,54.0,1863.0,54.0,1922.0,54.0,2277.0,54.0
19,1010,57.0,795,57.0,946,57.0,420,57.0,1523,57.0,1185,57.0,1194,57.0,1199,57.0,2402.0,57.0,1221.0,57.0,1883.0,57.0,1690.0,57.0,1120.0,57.0,2250.0,57.0,1538.0,57.0,1029.0,57.0,3442.0,57.0,2798.0,57.0,2709.0,57.0,3311.0,57.0,2598.0,57.0,1907.0,57.0,2111.0,57.0,2399.0,57.0
20,1108,60.0,918,60.0,964,60.0,420,60.0,1514,60.0,1186,60.0,1266,60.0,1251,60.0,2504.0,60.0,1234.0,60.0,1978.0,60.0,1776.0,60.0,1137.0,60.0,2430.0,60.0,1598.0,60.0,1100.0,60.0,3559.0,60.0,2923.0,60.0,2777.0,60.0,3415.0,60.0,2668.0,60.0,2016.0,60.0,2205.0,60.0,2566.0,60.0
21,1156,63.0,884,63.0,988,63.0,421,63.0,1572,63.0,1191,63.0,1313,63.0,1380,63.0,2540.0,63.0,1334.0,63.0,1998.0,63.0,1844.0,63.0,1214.0,63.0,2516.0,63.0,1741.0,63.0,1154.0,63.0,3715.0,63.0,2960.0,63.0,2987.0,63.0,3629.0,63.0,2759.0,63.0,2035.0,63.0,2311.0,63.0,2737.0,63.0
