step,DMSO,TMZ10,TMZ500
195,3913.75,3114.75,2664.25
196,3951.25,3136.0,2671.25
197,4003.25,3158.5,2681.25
198,4059.75,3181.5,2690.0
199,4112.75,3202.5,2696.5
200,4165.5,3223.5,2701.5
201,4217.25,3243.0,2708.0
202,4267.5,3261.75,2714.0
203,4317.5,3280.75,2721.5
204,4367.25,3300.5,2726.5
205,4417.25,3319.75,2733.0
206,4467.5,3339.5,2740.75
207,4515.5,3363.5,2749.0
208,4560.25,3387.0,2757.25
209,4604.75,3411.25,2766.0
210,4650.75,3434.5,2776.5
211,4696.5,3453.25,2785.0
212,4740.0,3470.25,2793.25
213,4780.75,3493.5,2801.75
214,4822.0,3519.25,2811.25
215,4870.0,3545.25,2819.75
216,4927.5,3565.0,2827.25
217,4991.75,3586.75,2836.25
218,5057.25,3608.0,2844.5
219,5118.5,3629.75,2852.25
220,5175.5,3652.25,2862.25
221,5232.5,3676.0,2873.0
222,5290.5,3702.0,2883.0
223,5346.5,3727.0,2893.75
224,5400.0,3752.75,2902.75
225,5454.25,3778.0,2912.5
226,5508.75,3802.25,2922.75
227,5563.25,3829.0,2935.0
228,5622.5,3857.5,2946.0
229,5687.25,3885.75,2957.75
230,5753.0,3912.75,2968.0
231,5815.75,3941.75,2977.25
232,5875.0,3967.5,2986.5
233,5935.0,3997.0,2994.25
234,5998.75,4027.25,3004.5
235,6062.25,4052.25,3013.5
236,6123.0,4075.0,3024.25
237,6183.25,4096.75,3036.5
238,6244.75,4124.25,3046.75
239,6311.0,4149.75,3056.75
240,6382.25,4173.5,3067.0
241,6452.75,4201.5,3077.5
242,6522.25,4231.75,3087.75
243,6596.25,4261.75,3096.0
244,6673.75,4288.5,3107.25
245,6749.5,4313.75,3116.75
246,6824.75,4341.0,3125.5
247,6903.0,4366.25,3135.0
248,6979.0,4392.0,3147.75
249,7044.5,4420.5,3157.0
250,7101.75,4450.0,3167.75
251,7159.75,4479.0,3178.75
252,7225.75,4509.0,3188.25
253,7301.0,4540.25,3197.0
254,7376.25,4570.25,3206.25
255,7446.25,4599.0,3215.5
256,7520.0,4634.5,3225.75
257,7599.75,4668.0,3237.5
258,7673.5,4698.5,3251.0
259,7736.75,4726.0,3264.25
260,7797.0,4751.75,3272.75
261,7865.0,4779.5,3280.25
262,7954.5,4809.75,3287.75
263,8063.0,4841.25,3298.0
264,8172.5,4870.25,3306.0
265,8278.25,4898.25,3312.5
266,8382.75,4927.0,3317.0
267,8484.75,4952.25,3322.25
268,8585.0,4980.0,3329.25
269,8684.75,5009.25,3334.25
270,8784.5,5037.25,3340.0
271,8884.75,5064.25,3346.75
272,8983.0,5094.75,3353.75
273,9075.75,5126.0,3363.0
274,9165.0,5158.0,3370.5
275,9255.5,5190.25,3380.75
276,9347.25,5219.75,3391.0
277,9436.5,5245.75,3398.75
278,9520.75,5275.75,3406.5
279,9602.75,5308.25,3415.0
280,9692.0,5343.5,3420.5
281,9797.5,5374.25,3429.75
282,9919.25,5402.5,3439.0
283,10049.0,5432.5,3448.5
284,10175.75,5462.75,3457.0
285,10294.0,5495.0,3466.25
286,10408.0,5529.0,3476.5
287,10523.0,5567.0,3485.5
288,10637.0,5603.25,3495.75
289,10746.5,5636.5,3504.75
290,10854.25,5672.0,3514.75
291,10963.0,5709.25,3524.75
292,11072.0,5743.5,3535.75
293,11185.75,5784.0,3548.25
294,11309.75,5824.5,3558.75
295,11440.25,5866.25,3570.25
296,11568.75,5907.25,3579.25
297,11690.75,5946.25,3588.5
298,11810.0,5988.0,3597.0
299,11933.75,6030.25,3606.5
300,12061.0,6070.25,3617.75
301,12185.25,6102.75,3625.25
302,12306.25,6132.5,3636.0
303,12428.0,6167.0,3647.5
304,12555.75,6202.25,3656.0
305,12693.25,6235.25,3666.0
306,12835.0,6273.0,3676.5
307,12975.0,6313.75,3688.25
308,13118.5,6356.25,3698.25
309,13270.0,6395.0,3707.25
310,13423.25,6433.0,3718.0
311,13574.25,6469.0,3725.5
312,13727.75,6507.75,3733.5
313,13882.0,6543.75,3744.75
314,14023.5,6583.25,3755.25
315,14146.25,6623.5,3763.75
316,14261.5,6667.75,3773.75
317,14385.5,6707.5,3785.5
318,14526.75,6750.75,3794.0
319,14677.25,6794.75,3802.25
