,Exp22_500um,Exp22_500um,Exp22_control,Exp22_control,Exp33_500um,Exp33_500um,Exp33_control,Exp33_control,Exp40_500um,Exp40_500um,Exp40_control,Exp40_control
,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type
54,,,8.666666666666666,-1.0,9.999264865451387,-1.0,29.99945068359375,1.0,13.5,-1.0,12.0,-1.0
55,,,8.666666666666666,-1.0,59.495625949435755,-1.0,30.999432373046876,-1.0,33.0,-1.0,12.0,-1.0
56,,,32.333333333333336,-1.0,69.99485405815972,0.0,26.499514770507812,1.0,72.0,0.0,72.0,0.0
57,,,17.5,1.0,69.99485405815972,0.0,3.9999267578125,-1.0,,,72.0,0.0
58,,,23.333333333333332,1.0,59.495625949435755,-1.0,3.9999267578125,-1.0,,,35.0,-1.0
59,,,9.0,-1.0,69.99485405815972,0.0,32.49940490722656,1.0,,,36.5,-1.0
60,,,9.166666666666666,-1.0,16.49878702799479,-1.0,28.499478149414063,-1.0,,,36.5,-1.0
61,,,16.666666666666668,1.0,52.996103786892355,-1.0,28.499478149414063,-1.0,,,36.0,-1.0
62,,,16.0,-1.0,52.996103786892355,-1.0,69.99871826171875,0.0,,,29.0,1.0
63,,,16.0,-1.0,4.999632432725694,-1.0,19.9996337890625,-1.0,,,6.0,-1.0
64,,,21.666666666666668,1.0,31.497684326171875,1.0,8.999835205078124,1.0,,,6.0,-1.0
65,,,17.5,1.0,32.49761081271701,-1.0,39.49927673339844,-1.0,,,22.0,1.0
66,,,21.333333333333332,1.0,32.49761081271701,-1.0,28.999468994140624,1.0,,,13.0,-1.0
67,,,31.5,-1.0,64.49525838216145,-1.0,19.9996337890625,-1.0,,,13.0,-1.0
68,,,31.5,-1.0,69.99485405815972,0.0,17.499679565429688,1.0,,,72.0,0.0
69,,,16.0,1.0,69.99485405815972,0.0,21.499606323242187,-1.0,,,72.0,0.0
70,,,17.0,1.0,1.9998529730902777,-1.0,21.499606323242187,-1.0,,,34.0,-1.0
71,,,19.666666666666668,-1.0,67.49503784179687,-1.0,19.9996337890625,-1.0,,,37.5,-1.0
72,,,19.666666666666668,-1.0,67.49503784179687,-1.0,,,,,37.5,-1.0
73,,,15.833333333333334,1.0,14.498934054904513,-1.0,,,,,15.5,-1.0
74,,,20.833333333333332,-1.0,13.998970811631944,-1.0,,,,,34.5,1.0
75,,,20.833333333333332,-1.0,54.99595675998263,-1.0,,,,,21.0,-1.0
76,,,19.5,1.0,55.4959200032552,-1.0,,,,,21.0,-1.0
77,,,18.333333333333332,1.0,69.99485405815972,0.0,,,,,32.0,1.0
78,,,25.666666666666668,1.0,4.499669189453125,-1.0,,,,,23.5,-1.0
79,,,6.666666666666667,-1.0,64.99522162543403,-1.0,,,,,23.5,-1.0
80,,,6.666666666666667,-1.0,64.99522162543403,-1.0,,,,,13.5,-1.0
81,,,31.0,1.0,69.99485405815972,0.0,,,,,34.0,1.0
82,,,1.3333333333333333,-1.0,69.99485405815972,0.0,,,,,13.5,1.0
83,,,1.3333333333333333,-1.0,6.4995221625434025,-1.0,,,,,23.5,-1.0
84,,,18.333333333333332,1.0,62.99536865234374,-1.0,,,,,30.5,1.0
85,,,24.166666666666668,1.0,62.99536865234374,-1.0,,,,,12.0,1.0
86,,,8.166666666666666,-1.0,69.99485405815972,0.0,,,,,27.0,-1.0
87,,,8.166666666666666,-1.0,69.99485405815972,0.0,,,,,72.0,0.0
88,,,32.5,-1.0,,,,,,,26.5,-1.0
89,,,19.666666666666668,-1.0,,,,,,,24.5,-1.0
90,,,20.5,1.0,,,,,,,25.0,1.0
91,,,30.0,1.0,,,,,,,21.5,-1.0
92,,,23.333333333333332,1.0,,,,,,,21.5,-1.0
93,,,1.6666666666666667,-1.0,,,,,,,30.0,1.0
94,,,1.6666666666666667,-1.0,,,,,,,16.5,-1.0
95,,,20.166666666666668,1.0,,,,,,,16.5,-1.0
96,,,4.833333333333333,-1.0,,,,,,,22.0,-1.0
97,,,4.833333333333333,-1.0,,,,,,,31.0,1.0
98,,,26.5,1.0,,,,,,,28.5,1.0
99,,,22.333333333333332,1.0,,,,,,,13.0,-1.0
100,,,2.8333333333333335,1.0,,,,,,,,
101,,,1.0,-1.0,,,,,,,,
102,,,3.0,1.0,,,,,,,,
103,,,23.5,1.0,,,,,,,,
104,,,5.0,-1.0,,,,,,,,
105,,,5.0,-1.0,,,,,,,,
106,,,21.833333333333332,1.0,,,,,,,,
107,,,20.666666666666668,1.0,,,,,,,,
108,,,25.5,1.0,,,,,,,,
109,,,7.5,-1.0,,,,,,,,
110,,,7.5,-1.0,,,,,,,,
111,,,24.5,1.0,,,,,,,,
112,,,8.5,-1.0,,,,,,,,
113,,,8.5,-1.0,,,,,,,,
114,,,21.166666666666668,1.0,,,,,,,,
115,,,23.833333333333332,1.0,,,,,,,,
116,,,8.666666666666666,-1.0,,,,,,,,
117,,,8.666666666666666,-1.0,,,,,,,,
118,,,26.666666666666668,1.0,,,,,,,,
119,,,5.833333333333333,-1.0,,,,,,,,
120,,,5.833333333333333,-1.0,,,,,,,,
121,,,16.0,-1.0,,,,,,,,
122,,,79.66666666666667,-1.0,,,,,,,,
123,,,79.66666666666667,-1.0,,,,,,,,
124,,,26.333333333333332,-1.0,,,,,,,,
125,,,31.333333333333332,1.0,,,,,,,,
126,,,25.333333333333332,1.0,,,,,,,,
127,,,12.333333333333334,-1.0,,,,,,,,
128,,,12.333333333333334,-1.0,,,,,,,,
129,,,37.833333333333336,-1.0,,,,,,,,
130,,,28.833333333333332,1.0,,,,,,,,
131,,,23.833333333333332,1.0,,,,,,,,
132,,,16.333333333333332,-1.0,,,,,,,,
133,,,16.333333333333332,-1.0,,,,,,,,
134,,,23.833333333333332,1.0,,,,,,,,
135,,,16.333333333333332,-1.0,,,,,,,,
136,,,16.333333333333332,-1.0,,,,,,,,
137,,,23.833333333333332,-1.0,,,,,,,,
138,,,43.333333333333336,1.0,,,,,,,,
139,,,28.333333333333332,-1.0,,,,,,,,
140,,,27.0,1.0,,,,,,,,
141,,,1.1666666666666667,-1.0,,,,,,,,
142,,,1.1666666666666667,-1.0,,,,,,,,
143,,,59.833333333333336,1.0,,,,,,,,
144,,,11.833333333333334,-1.0,,,,,,,,
145,,,11.833333333333334,-1.0,,,,,,,,
146,,,24.5,-1.0,,,,,,,,
147,,,39.5,1.0,,,,,,,,
148,,,31.5,-1.0,,,,,,,,
