,Exp22_500um,Exp22_500um,Exp22_control,Exp22_control,Exp33_500um,Exp33_500um,Exp33_control,Exp33_control,Exp40_500um,Exp40_500um,Exp40_control,Exp40_control
,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type,div time (h),div type
0,87.33333333333333,-1.0,31.5,-1.0,2.9997794596354166,-1.0,28.499478149414063,-1.0,41.0,-1.0,32.5,1.0
1,30.333333333333332,-1.0,42.666666666666664,1.0,66.49511135525174,-1.0,40.49925842285156,-1.0,30.5,-1.0,25.5,-1.0
2,95.83333333333333,0.0,28.333333333333332,-1.0,66.49511135525174,-1.0,40.49925842285156,-1.0,30.5,-1.0,25.5,-1.0
3,9.333333333333334,-1.0,28.333333333333332,-1.0,69.99485405815972,0.0,8.499844360351563,-1.0,72.0,0.0,58.5,-1.0
4,86.33333333333333,-1.0,19.833333333333332,-1.0,69.99485405815972,0.0,60.99888305664062,-1.0,50.0,-1.0,15.5,-1.0
5,86.33333333333333,-1.0,20.333333333333332,1.0,69.99485405815972,0.0,60.99888305664062,-1.0,21.5,-1.0,15.0,-1.0
6,14.333333333333334,-1.0,20.166666666666668,1.0,18.498640001085068,-1.0,27.499496459960938,-1.0,21.5,-1.0,56.5,-1.0
7,53.833333333333336,1.0,29.166666666666668,1.0,23.49827243381076,1.0,35.499349975585936,1.0,1.5,-1.0,56.5,-1.0
8,81.33333333333333,-1.0,5.666666666666667,-1.0,39.99705946180555,1.0,5.499899291992188,-1.0,70.0,-1.0,13.0,-1.0
9,57.5,1.0,42.5,1.0,69.99485405815972,0.0,32.999395751953124,1.0,70.0,-1.0,58.5,-1.0
10,95.83333333333333,0.0,33.166666666666664,-1.0,37.49724324544271,-1.0,7.999853515625,-1.0,72.0,0.0,58.5,-1.0
11,11.833333333333334,-1.0,26.5,1.0,37.49724324544271,-1.0,7.999853515625,-1.0,72.0,0.0,52.0,-1.0
12,83.83333333333333,-1.0,28.666666666666668,-1.0,31.99764756944444,-1.0,5.499899291992188,-1.0,72.0,0.0,19.5,-1.0
13,44.0,1.0,28.666666666666668,-1.0,30.497757839626736,1.0,69.99871826171875,0.0,72.0,0.0,19.5,-1.0
14,95.83333333333333,0.0,5.666666666666667,-1.0,0.9999264865451399,-1.0,37.99930419921875,-1.0,5.5,-1.0,16.0,-1.0
15,95.83333333333333,0.0,22.666666666666668,1.0,0.9999264865451399,-1.0,24.499551391601564,1.0,66.0,-1.0,23.5,1.0
16,60.666666666666664,-1.0,12.166666666666666,-1.0,69.99485405815972,0.0,6.499880981445313,-1.0,66.0,-1.0,31.5,-1.0
17,34.833333333333336,-1.0,12.166666666666666,-1.0,21.498419460720484,-1.0,6.499880981445313,-1.0,72.0,0.0,25.5,1.0
18,34.833333333333336,-1.0,31.5,1.0,22.498345947265626,1.0,31.499423217773437,-1.0,72.0,0.0,29.5,-1.0
