,02_DMSO alltime,02_DMSO alltime,03_10um alltime,03_10um alltime,04_500um alltime,04_500um alltime,05_Control 30 min removed,05_Control 30 min removed,06_DMSO30 min removed,06_DMSO30 min removed,07_10um 30 min removed,07_10um 30 min removed,08_500um 30 min removal,08_500um 30 min removal,09_Control 2h removal,09_Control 2h removal,10_DMSO 2h removal,10_DMSO 2h removal,11_10um 2h removal,11_10um 2h removal,12_500um 2h removal,12_500um 2h removal,01_Control,01_Control
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
101,783,50.5047619584375,466,50.5099741424375,371,50.5150708384375,314,50.520473059770836,438,50.52567614777083,370,50.53084763577083,393,50.535969747770835,294,50.5412881824375,460,50.5464149824375,484,50.55170706510417,414,50.5567807744375,697,50.4996011984375
102,779,51.004758147770836,473,51.01008154777083,377,51.015223523770835,315,51.0205592144375,447,51.0257825104375,377,51.031044763770836,389,51.0361823984375,290,51.04155684110417,494,51.0467714544375,483,51.05216773977083,411,51.057305025104164,742,50.999587561104164
103,781,51.5048656224375,461,51.5101386064375,371,51.51520853177083,310,51.52056637710417,441,51.525773595770836,374,51.5310878624375,416,51.536254595770835,275,51.541709803770836,499,51.54681569977083,483,51.55214691310417,425,51.55736552110417,681,51.499619515770554
104,765,52.00478649977083,470,52.01000930777055,387,52.01518364377083,318,52.02057680110417,448,52.02578336110417,386,52.03109912110417,415,52.0361873104375,299,52.04167418510416,503,52.0469208144375,491,52.0522751184375,413,52.057318793104166,702,51.9995783424375
105,774,52.50479626510417,472,52.5099956704375,379,52.51511885977083,336,52.52061694777083,444,52.5258878144375,391,52.53108610777083,422,52.53623450510417,296,52.5415488784375,521,52.54675384110417,499,52.552143843770835,413,52.557205707770834,705,52.499555571770834
106,803,53.00475866777084,482,53.010002137104166,377,53.015209321104166,326,53.0206516784375,442,53.0258248704375,372,53.03099153177083,410,53.03607454777083,283,53.04139208110416,518,53.04654992377083,493,53.05192127577083,416,53.05694960377083,708,52.99954842777083
107,787,53.5047250224375,460,53.510043249104164,383,53.515232657104164,323,53.5207126544375,443,53.5259652544375,367,53.5311713984375,422,53.5362477824375,287,53.54150156377084,513,53.546677147770836,504,53.55199061710417,415,53.557213497104165,717,53.499553465104164
108,831,54.00470172910417,466,54.0100098864375,387,54.01513731310417,330,54.02062495310417,460,54.0258471344375,373,54.03120199310417,419,54.036222265104165,304,54.041555491770836,518,54.046789379770836,487,54.0520775344375,432,54.057269649104164,722,53.99952860910417
109,829,54.504742393104166,488,54.51004252910417,383,54.515219643770834,336,54.52059804377083,456,54.52589571577084,372,54.531182969104165,419,54.53621396910417,293,54.5415887584375,534,54.5467849024375,499,54.5521270864375,420,54.5572809024375,727,54.499523681104165
110,826,55.004727987770835,457,55.01007868110417,373,55.015215099770835,342,55.0205908624375,461,55.02584946777083,377,55.0311185264375,424,55.036096369104165,305,55.041517305104165,548,55.04667910510417,508,55.051913163770834,424,55.05702586777083,750,54.999560491770836
111,800,55.50475032110417,466,55.510006811770836,377,55.51510117977083,339,55.52057104110417,449,55.525806593104164,372,55.53102867310417,430,55.53615908377083,295,55.5416045344375,525,55.54681737710417,514,55.5520893184375,427,55.55723146777083,718,55.499505011770836
112,823,56.004697339770836,484,56.0098997664375,384,56.01498295577083,348,56.02041795577083,463,56.025690451770835,382,56.03096145710417,431,56.0360184304375,313,56.0413461344375,535,56.04669613177084,482,56.052112209104166,419,56.05738484377083,739,55.999509115770834
113,842,56.50480029710417,477,56.5100784544375,374,56.515183969104164,331,56.520642265104165,459,56.52577326777083,374,56.53098736110417,423,56.536142459770836,307,56.54151742510417,520,56.54670620377083,499,56.552002801104166,433,56.557078489104164,729,56.49949495310417
114,855,57.004734499770834,470,57.0100435584375,364,57.0151297344375,341,57.02053539310417,449,57.02570830510417,391,57.03096823310417,398,57.036110449104164,315,57.04145579577084,543,57.046725131770835,485,57.0520641584375,413,57.057160643770835,744,56.9995266224375
115,866,57.50477609710417,470,57.510051929104165,371,57.515211473104166,344,57.5206978944375,462,57.52591226510417,382,57.53109024910417,398,57.53613485977083,334,57.5415319424375,512,57.546687771770834,493,57.55199509710417,421,57.5572594304375,740,57.499511241104166
116,872,58.0046689824375,469,58.009950089104166,366,58.0150948064375,339,58.020475635770836,453,58.02566840910416,375,58.030937643770834,396,58.0359971504375,355,58.04134843310417,533,58.0465157904375,495,58.051753841104166,423,58.056780363770834,772,57.9994987424375
117,889,58.5047716144375,477,58.509933865104166,380,58.51505587310417,335,58.520447363770835,479,58.525686771770836,382,58.53084631577083,399,58.53598037177083,339,58.5414245744375,528,58.54658349177083,494,58.551865675770834,413,58.557012163770835,749,58.499475089104166
118,884,59.00462520910417,475,59.0098737824375,378,59.0150588464375,354,59.0204697824375,481,59.025655473104166,385,59.03094390777083,380,59.03608536110416,328,59.041507475770835,512,59.0466291744375,484,59.051961497104166,421,59.0570812144375,751,58.9994491024375
119,875,59.5046268544375,496,59.50990379577083,394,59.5150287904375,353,59.52052090777083,472,59.52573757177083,391,59.530910099770836,384,59.5361471104375,324,59.5414967264375,515,59.546714465104166,491,59.552038907770836,450,59.557147339770836,773,59.4994341504375
120,889,60.004682249104164,472,60.009979675770836,382,60.0151508864375,346,60.02065973977056,493,60.025916299770834,393,60.0311977184375,389,60.036257297104164,335,60.041650523770834,540,60.0467795824375,516,60.051996001104165,424,60.05711127310417,773,59.999431419770836
121,928,60.504590595770836,465,60.50979329710417,395,60.5149063504375,342,60.52034145177083,491,60.52557578777083,387,60.530785643770834,377,60.535860049104166,327,60.54124990777083,522,60.54634250777083,499,60.5516886144375,430,60.556892049104164,763,60.4994478224375
122,895,61.00457893977083,490,61.0099193184375,388,61.01497691577083,342,61.02038201710417,488,61.0256071584375,377,61.0308241984375,392,61.0359334624375,332,61.0413509264375,543,61.046513699770834,487,61.05183525977083,415,61.056903585104166,772,60.99941797177083
123,934,61.50461032910417,457,61.5098434144375,375,61.51491129177084,343,61.52042663577083,503,61.52564840377083,369,61.5309123584375,386,61.536057179770836,317,61.541453635770836,551,61.5466061664375,490,61.55187574510417,408,61.557083763770834,772,61.4993985984375
124,908,62.004644561104165,456,62.00984889710416,375,62.015024345104166,359,62.020384235770834,504,62.02565569177084,386,62.03089968110417,381,62.035964537104164,346,62.04134415310417,570,62.046528177104165,499,62.0518671664375,415,62.0569635504375,764,61.999411406437225
125,935,62.5046107824375,459,62.50991227310416,353,62.515014385104166,359,62.5204892464375,513,62.52579726510417,406,62.53113427577083,377,62.5362579504375,333,62.5416401024375,564,62.54682471577083,504,62.55212613710417,402,62.55714522777083,806,62.4993997104375
126,915,63.0045328784375,465,63.009788985104166,350,63.015049225104164,336,63.020510923770836,494,63.0257092864375,390,63.03099088110417,398,63.0360273664375,334,63.0414594464375,572,63.046676489104165,501,63.0519235344375,436,63.0570775184375,780,62.999372953104164
127,946,63.504600987770836,455,63.5099217104375,348,63.51498892377055,331,63.5203558304375,524,63.5256837424375,394,63.530852483770836,378,63.53590619310417,335,63.5413059104375,566,63.54653083577083,492,63.55184308910417,409,63.55697287577083,785,63.499365577104165
128,926,64.00455142510388,468,64.00986353977083,357,64.01488092910417,344,64.02031082510416,492,64.0255518624375,406,64.03078564377083,389,64.03596501710416,359,64.04132171577083,555,64.04643060110416,479,64.05173649977084,405,64.05694569710417,775,63.999363547770834
129,960,64.50458506777083,479,64.50979541177084,344,64.51494741977083,352,64.52036210777084,498,64.5255973824375,391,64.5308769264375,392,64.5359100464375,351,64.54130358777083,573,64.54649788910416,490,64.55170486510417,411,64.55674117710417,784,64.4993459024375
130,909,65.00460795577084,470,65.00985836910417,334,65.01506499577083,330,65.02036895310417,514,65.0256208944375,400,65.03080637710417,373,65.03597237977084,355,65.04129501710416,535,65.04648938777083,482,65.05179400377084,407,65.0568791744375,786,64.99938538777083
131,954,65.50456137710417,471,65.5099435264375,337,65.5150243904375,345,65.52037497710417,501,65.52566855310417,403,65.53084945177083,386,65.5359462864375,340,65.54129288110417,553,65.54648558777083,480,65.5517821824375,406,65.5569267264375,798,65.49935537177083
132,948,66.00454145710417,469,66.00979690510417,344,66.0150912784375,329,66.02051172910417,490,66.02575328910417,407,66.0309343264375,379,66.0360456064375,353,66.0414759184375,569,66.0465817824375,503,66.05185417710416,399,66.05704188110417,805,65.99932639310417
133,950,66.50454543577084,450,66.50982425177084,352,66.51502126510417,350,66.52049292910417,502,66.5257415024375,409,66.53103639577084,387,66.5360726064375,354,66.54150145977056,561,66.54664749710416,489,66.55192384910417,421,66.5570963104375,807,66.49932700377083
134,943,67.00456135310417,447,67.00979600377083,333,67.01491259577084,344,67.0202993664375,485,67.0255834944375,408,67.03088894510417,382,67.03608460110416,352,67.04150557177083,599,67.0467022704375,514,67.0520632064375,397,67.05728320377084,801,66.99934257177084
135,963,67.50456265177084,470,67.5097248704375,333,67.51475548910416,351,67.52014601177083,510,67.52536378510416,413,67.5305197184375,368,67.5355414144375,351,67.54076016110416,596,67.54596005177083,514,67.5513444624375,406,67.55642192110416,816,67.49933269177083
136,981,68.00455107577083,470,68.0098706224375,341,68.01497280377083,365,68.0203472464375,517,68.0256008544375,401,68.0308480064375,369,68.0359412304375,341,68.0413320624375,585,68.04643882777083,481,68.05167729710416,394,68.05666309177056,829,67.99929319577083
137,975,68.50454359577083,466,68.50978435577083,345,68.5148835184375,348,68.5202711904375,525,68.52553066777084,378,68.53069378777083,381,68.5357409344375,357,68.54107343310416,565,68.54623412377083,494,68.5514627664375,385,68.5565974144375,811,68.4992870704375
138,990,69.00448574777083,449,69.00968678510417,359,69.0147601824375,358,69.0201899024375,512,69.0254851104375,373,69.03075878777084,388,69.0358654144375,359,69.04119457977083,588,69.04640422777084,505,69.05162217710416,391,69.0568291184375,842,68.99928873710417
139,999,69.50444758777083,454,69.50970359310416,366,69.51483497710417,355,69.5202823024375,507,69.5254577504375,372,69.53072424110417,369,69.5357030864375,361,69.54107100377084,586,69.54620992110416,505,69.55151901710417,392,69.55652841977083,830,69.49925443310417
140,965,70.00448209977084,467,70.0096603584375,333,70.01484865177083,364,70.0202673984375,522,70.02545392110417,385,70.03065349710417,370,70.03573304110417,350,70.04102081177084,583,70.0461446944375,495,70.05149080377083,396,70.0566774624375,819,69.99925001977083
