,02_DMSO alltime,02_DMSO alltime,03_10um alltime,03_10um alltime,04_500um alltime,04_500um alltime,05_Control 30 min removed,05_Control 30 min removed,06_DMSO30 min removed,06_DMSO30 min removed,07_10um 30 min removed,07_10um 30 min removed,08_500um 30 min removal,08_500um 30 min removal,09_Control 2h removal,09_Control 2h removal,10_DMSO 2h removal,10_DMSO 2h removal,11_10um 2h removal,11_10um 2h removal,12_500um 2h removal,12_500um 2h removal,01_Control,01_Control
,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time,counts,time
24,391,12.010093497104167,301,12.0208498144375,316,12.032043185104166,216,12.0415531664375,242,12.052167713104167,246,12.061873737104166,291,12.071267747770833,188,12.082668099770833,269,12.0925608304375,291,12.102182273104166,333,12.1130596704375,424,12.000296843770833
25,405,12.510111137104166,294,12.519707161104167,309,12.529613641104167,207,12.5394569584375,240,12.549414099770834,257,12.560403267770834,310,12.569639947770833,185,12.580070601104167,263,12.589825379770833,287,12.599619497104166,330,12.609273267770833,423,12.5002687184375
26,400,13.0100151584375,311,13.0207106064375,305,13.031393587770832,219,13.040929819770833,243,13.050686993104167,251,13.061911857104167,305,13.0713024304375,188,13.082165867770833,268,13.0922255424375,296,13.104228507770832,327,13.1133075824375,414,13.000255243770834
27,414,13.510889747770833,300,13.521133489104166,302,13.5311234784375,206,13.540611443770834,250,13.5513401584375,254,13.5616288304375,324,13.5712743344375,201,13.582117633104167,277,13.591789353104167,300,13.601044123770833,332,13.611548217104167,420,13.5002491984375
28,429,14.010038243770833,321,14.019897153104166,316,14.0300550944375,211,14.0406376944375,258,14.050221323770833,259,14.059755577104166,304,14.070348523770834,201,14.080127467770833,296,14.0894893584375,285,14.099342505104167,331,14.1093897184375,415,14.000237737104166
29,422,14.510682761104167,316,14.521760195770833,301,14.531927787770833,219,14.5421428144375,242,14.551611443770833,263,14.560801315770833,315,14.570034419770833,184,14.579685827770833,266,14.5910876384375,307,14.6011440864375,343,14.6117659584375,439,14.5003472144375
30,422,15.0100662624375,326,15.0200228464375,323,15.028690769104166,217,15.037630187770834,262,15.0468794384375,261,15.057342035770834,323,15.0674673744375,186,15.079299643770833,283,15.0892747344375,314,15.098339505104166,340,15.1069922544375,424,15.0002308944375
31,402,15.5103126144375,310,15.520316665104167,321,15.5303190544375,221,15.540162057104167,271,15.5496710304375,263,15.560696657104167,321,15.571463219770834,185,15.5810177504375,283,15.590569851770834,321,15.600572027770834,361,15.6113443904375,429,15.500257105104167
32,423,16.0101429024375,328,16.0202962944375,325,16.0304187824375,218,16.040028107770834,266,16.050819459770832,262,16.0614043504375,323,16.072075633104166,192,16.082988411770835,299,16.092868745104166,334,16.1022795584375,366,16.111373043770833,434,16.00020218510417
33,407,16.509873897104168,335,16.520141665104166,326,16.529620745104168,218,16.538763257104165,271,16.548206121104165,258,16.558345449104166,329,16.568333979770834,194,16.5781384464375,294,16.587627211770833,322,16.597903281104166,362,16.608954115770832,429,16.500205059770835
34,432,17.00980468910417,336,17.0206988544375,311,17.030974401104167,239,17.039808611770834,258,17.049245395770832,263,17.058931283770832,323,17.069270963770833,192,17.079381787770835,291,17.090346961104167,330,17.100104553104167,371,17.109619881104166,439,17.000183697104166
35,427,17.510142395770835,340,17.5206884304375,322,17.530937137104168,223,17.5408439984375,272,17.5507143344375,276,17.5615791584375,342,17.570564099770834,199,17.580196339770833,307,17.591673603770833,344,17.601470291770834,385,17.6114317744375,441,17.500230881104166
36,434,18.010193043770833,360,18.021930691770834,342,18.030615939770833,224,18.0395401504375,274,18.0500603184375,273,18.061054937104167,341,18.073753155770834,202,18.083796859770832,279,18.094365259770832,322,18.103848123770835,403,18.113200499770834,459,18.000164825104168
37,450,18.510098553104168,351,18.520796673104165,336,18.531585977104168,226,18.541156897104166,285,18.5510678544375,264,18.561105691770834,342,18.571595233104166,192,18.58269742510417,296,18.593439435770833,348,18.6033391104375,397,18.613178265104168,444,18.500174537104165
